h/k,1,2,3,4,5,6,7,8,9,10,15,20,25,30,35,40,45,50
7,-0.0512%,0.1252%,0.0693%,0.0495%,0.0943%,0.0891%,0.1152%,0.0905%,0.0712%,0.0795%,0.0623%,0.0716%,0.0761%,0.0860%,0.0802%,0.0788%,0.0847%,0.0802%
14,0.0964%,0.2012%,0.1689%,0.1397%,0.1350%,0.1160%,0.1230%,0.1034%,0.0927%,0.0970%,0.0906%,0.0883%,0.0909%,0.1111%,0.1042%,0.1060%,0.1099%,0.1084%
21,0.0870%,0.2346%,0.1839%,0.1605%,0.1667%,0.1405%,0.1347%,0.1160%,0.0905%,0.0882%,0.0908%,0.0881%,0.0920%,0.1122%,0.1079%,0.1067%,0.1083%,0.1050%
28,0.1057%,0.1545%,0.1282%,0.1259%,0.1277%,0.1080%,0.1086%,0.0912%,0.0689%,0.0741%,0.0714%,0.0747%,0.0791%,0.1012%,0.0996%,0.0982%,0.1028%,0.1003%
35,0.1088%,0.1247%,0.1022%,0.1023%,0.1141%,0.0998%,0.0958%,0.0793%,0.0681%,0.0813%,0.0764%,0.0779%,0.0811%,0.0964%,0.0982%,0.0959%,0.0997%,0.0973%
42,0.0967%,0.1326%,0.1088%,0.0999%,0.1191%,0.1117%,0.1172%,0.1005%,0.0947%,0.1028%,0.0971%,0.0941%,0.0929%,0.1040%,0.1038%,0.1025%,0.1042%,0.1024%
49,0.0948%,0.1135%,0.0945%,0.0992%,0.1159%,0.1057%,0.1126%,0.0970%,0.0924%,0.0972%,0.0943%,0.0965%,0.0944%,0.1040%,0.1026%,0.0996%,0.1001%,0.0986%
56,0.1303%,0.1023%,0.0822%,0.0810%,0.0953%,0.0868%,0.0968%,0.0828%,0.0785%,0.0826%,0.0863%,0.0883%,0.0892%,0.0975%,0.0965%,0.0944%,0.0953%,0.0936%
63,0.1190%,0.1179%,0.0928%,0.0952%,0.1021%,0.0891%,0.1048%,0.0857%,0.0809%,0.0822%,0.0825%,0.0791%,0.0797%,0.0890%,0.0864%,0.0852%,0.0862%,0.0853%
70,0.1986%,0.1646%,0.1206%,0.1146%,0.1128%,0.1010%,0.1114%,0.0913%,0.0876%,0.0883%,0.0900%,0.0816%,0.0764%,0.0856%,0.0852%,0.0836%,0.0857%,0.0845%
77,0.1982%,0.1542%,0.1153%,0.1108%,0.1054%,0.0962%,0.1051%,0.0911%,0.0953%,0.0978%,0.0943%,0.0817%,0.0769%,0.0846%,0.0854%,0.0835%,0.0843%,0.0823%
84,0.1552%,0.1302%,0.1035%,0.0933%,0.0941%,0.0908%,0.0998%,0.0877%,0.0921%,0.0928%,0.0891%,0.0774%,0.0755%,0.0826%,0.0825%,0.0812%,0.0802%,0.0784%
91,0.1884%,0.1582%,0.1188%,0.1045%,0.1040%,0.0992%,0.1034%,0.0853%,0.0840%,0.0867%,0.0836%,0.0695%,0.0661%,0.0720%,0.0737%,0.0729%,0.0724%,0.0709%
